Point,Latitude_x,Longitude_y,Window_start,Window_end,Demand_text,Demand_m3,Service_min,Start_min,End_min,Window_length_min
37,34.034403,71.486495,8:00,13:30,2m3,2.0,46,480,810,330
38,34.0313,71.48849,8:00,16:00,2m3,2.0,52,480,960,480
39,34.00873,71.4615,8:00,12:00,2m3,2.0,53,480,720,240
40,34.008951,71.518679,8:00,13:30,2m3,2.0,60,480,810,330
41,34.001769,71.422714,8:00,16:00,2m3,2.0,50,480,960,480
42,34.001208,71.420222,8:00,12:00,2m3,2.0,53,480,720,240
43,34.003298,71.467093,8:00,13:30,2m3,2.0,52,480,810,330
44,34.008163,71.46318,8:00,16:00,2m3,2.0,57,480,960,480
45,34.0132,71.466378,8:00,12:00,2m3,2.0,54,480,720,240
46,34.014361,71.461538,8:00,13:30,2m3,2.0,58,480,810,330
47,34.021828,71.458935,8:00,16:00,2m3,2.0,50,480,960,480
48,34.006391,71.462707,8:00,12:00,2m3,2.0,52,480,720,240
49,34.031861,71.470646,8:00,13:30,2m3,2.0,59,480,810,330
50,34.012637,71.43433763,8:00,16:00,2m3,2.0,46,480,960,480
51,34.013056,71.435566,8:00,12:00,2m3,2.0,52,480,720,240
52,34.011265,71.434363,8:00,13:30,2m3,2.0,49,480,810,330
53,34.010374,71.447001,8:00,16:00,2m3,2.0,46,480,960,480
54,34.013898,71.433799,8:00,12:00,2m3,2.0,50,480,720,240
55,34.010068,71.432005,8:00,13:30,2m3,2.0,53,480,810,330
56,34.021771,71.535448,8:00,16:00,2m3,2.0,60,480,960,480
57,34.039361,71.527272,8:00,12:00,2m3,2.0,49,480,720,240
58,34.031501,71.531981,8:00,13:30,2m3,2.0,46,480,810,330
59,34.025736,71.535138,8:00,16:00,2m3,2.0,56,480,960,480
60,34.019218,71.537193,8:00,12:00,2m3,2.0,56,480,720,240
61,34.026788,71.534556,8:00,13:30,2m3,2.0,45,480,810,330
62,34.039541,71.524646,8:00,16:00,2m3,2.0,52,480,960,480
63,34.030528,71.528913,8:00,12:00,2m3,2.0,54,480,720,240
64,34.003504,71.467207,8:00,13:30,2m3,2.0,51,480,810,330
65,34.014716,71.49068,8:00,16:00,2m3,2.0,59,480,960,480
66,34.01838,71.536411,8:00,12:00,2m3,2.0,53,480,720,240
67,34.002441,71.500136,8:00,13:30,2m3,2.0,51,480,810,330
68,34.009033,71.512861,8:00,16:00,2m3,2.0,58,480,960,480
69,34.025491,71.52435,8:00,12:00,0.8m3,0.8,44,480,720,240
70,34.017475,71.538929,8:00,13:30,0.8m3,0.8,36,480,810,330
71,34.023158,71.524134,8:00,16:00,0.8m3,0.8,43,480,960,480
72,34.024893,71.518937,8:00,12:00,0.8m3,0.8,45,480,720,240
73,34.016099,71.49382,8:00,13:30,0.8m3,0.8,43,480,810,330
74,34.014963,71.507461,8:00,16:00,0.8m3,0.8,45,480,960,480
75,34.014903,71.496563,8:00,12:00,0.8m3,0.8,35,480,720,240
76,34.027705,71.49548,8:00,13:30,0.8m3,0.8,41,480,810,330
77,34.003775,71.5054464,8:00,16:00,0.8m3,0.8,43,480,960,480
78,34.013168,71.487469,8:00,12:00,0.8m3,0.8,41,480,720,240
79,34.027645,71.495552,8:00,13:30,0.8m3,0.8,39,480,810,330
80,34.019988,71.459826,8:00,16:00,0.8m3,0.8,41,480,960,480
81,34.003057,71.481551,8:00,12:00,0.8m3,0.8,44,480,720,240
82,34.004313,71.471807,8:00,13:30,0.8m3,0.8,42,480,810,330
83,34.013766,71.466249,8:00,16:00,0.8m3,0.8,42,480,960,480
84,34.003595,71.48386,8:00,12:00,0.8m3,0.8,42,480,720,240
85,34.036244,71.490414,8:00,13:30,0.8m3,0.8,39,480,810,330
86,34.026285,71.474107,8:00,16:00,0.8m3,0.8,39,480,960,480
87,34.003519,71.46827,8:00,12:00,0.8m3,0.8,36,480,720,240
88,34.0011,71.492389,8:00,13:30,0.8m3,0.8,39,480,810,330
89,34.03226,71.462777,8:00,16:00,0.8m3,0.8,39,480,960,480
90,34.029771,71.472905,8:00,12:00,0.8m3,0.8,45,480,720,240
91,34.020879,71.470502,8:00,13:30,0.8m3,0.8,44,480,810,330
92,34.026351,71.443279,8:00,16:00,0.8m3,0.8,45,480,960,480
93,33.996484,71.44777,8:00,12:00,0.8m3,0.8,41,480,720,240
94,33.995638,71.47043,8:00,13:30,0.8m3,0.8,38,480,810,330
95,34.004015,71.467776,8:00,16:00,0.8m3,0.8,38,480,960,480
96,34.013322,71.478902,8:00,12:00,0.8m3,0.8,38,480,720,240
97,33.990814,71.489694,8:00,13:30,0.8m3,0.8,38,480,810,330
98,33.989908,71.485446,8:00,16:00,0.8m3,0.8,43,480,960,480
99,33.981755,71.493457,8:00,12:00,0.8m3,0.8,35,480,720,240
100,33.997355,71.501954,8:00,13:30,0.8m3,0.8,40,480,810,330
101,33.989304,71.456314,8:00,16:00,0.8m3,0.8,42,480,960,480
102,33.991719,71.510329,8:00,12:00,0.8m3,0.8,45,480,720,240
103,33.982158,71.511907,8:00,13:30,0.8m3,0.8,45,480,810,330
104,34.014461,71.502075,8:00,16:00,0.8m3,0.8,35,480,960,480
105,33.994437,71.522225,8:00,12:00,0.8m3,0.8,43,480,720,240
106,33.999066,71.500133,8:00,13:30,0.8m3,0.8,44,480,810,330
107,34.002286,71.48180465,8:00,16:00,0.8m3,0.8,39,480,960,480
108,34.00772,71.483139,8:00,12:00,0.8m3,0.8,37,480,720,240
109,34.045903,71.532091,8:00,13:30,0.8m3,0.8,45,480,810,330
110,34.00333,71.46727,8:00,16:00,0.8m3,0.8,40,480,960,480
